Paper: 1MA1/1H,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Question 15 (a) ⃗⃗A⃗⃗C ⃗AnsA⃗⃗w⃗⃗Be ⃗r  = 5,and,,Mark M1,,for A⃗⃗⃗⃗C ⃗,= 5(3a + 4b)  or  B⃗⃗⃗⃗C ⃗,Mark scheme  = 4(3a + 4b),,,,Additional guidance
reason,,,C1,,or inA⃗⃗⃗⃗dC ⃗icates⃗⃗A⃗⃗ tBhat 15a + 20b = 5 × (3a + 4b)for,= 5  ⃗  or ⃗⃗A⃗⃗C ⃗ = 5(3a + 4b) or 15a + 20b = 5(3a + 4b) and a,,,,,Do not award this mark if any incorrect
,,,,,"correct reason,",,,,,,working seen
,,,,,eg AC is a multiple of AB / multiples of each other / AB is a factor of AC,,,,,,Could use AB and BC  or  AC and BC
,,,,,or they have the same gradient / are parallel / go in the same direction,,,,,,
,,,,,or they have a point in common / both start at A,,,,,,
,,,,,or AC is an enlargement of AB,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
(b) 5 : 2,,,P1,,for ( ⃗⃗D⃗⃗F ⃗ =) 3e + 6f + (,10.5e   ̶ 21f ),(=,7.5e   ̶ 15f),,,
,,,,,,,,,,,
,,,P1,,or f eg E⃗⃗o⃗⃗rF ⃗ a multipl⃗⃗Di⃗⃗cEa ⃗tive relationship for D⃗⃗ ⃗⃗E ⃗ and E⃗⃗⃗⃗F ⃗  =for a multiplicative relationship for eg ⃗⃗D⃗⃗F ⃗ =,3.5 2.5 D⃗⃗ ⃗⃗E ⃗  or for (DF : DE =)  –5 : 2 oe eg –2.5 : 1 or  –7.5 : 3   or for (DE : EF =D⃗⃗ ⃗⃗)F  ⃗1 : –3D⃗⃗.⃗⃗5E  ⃗oe,and,,,,
,,,,,,,,,,,
,,,,,or for answer of 2 : 5 oe,,,,,,
,,,,,,,,,,,
,,,A1,,oe eg 2.5 : 1,,,,,,
