v	(transitive) To believe; to put credence in. 
v	(transitive, accounting) To add to an account. 
v	(transitive) To acknowledge the contribution of. 
v	(transitive) To bring honour or repute upon; to do credit to; to raise the estimation of. 
n	Reliance on the truth of something said or done; faith; trust. 
n	(uncountable) Recognition and respect. 
n	(countable) Acknowledgement of a contribution, especially in the performing arts. 
n	(television/film, usually in the plural) Written titles and other information about the TV program or movie shown at the beginning and/or end of the TV program or movie. 
n	(uncountable, law, business, finance) A privilege of delayed payment extended to a buyer or borrower on the seller's or lender's belief that what is given will be repaid. 
n	The time given for payment for something sold on trust. 
n	(uncountable, US) A person's credit rating or creditworthiness, as represented by their history of borrowing and repayment (or non payment). 
n	(accounting) An addition to certain accounts; the side of an account on which payments received are entered. 
n	(tax accounting) A reduction in taxes owed, or a refund for excess taxes paid. 
n	A source of value, distinction or honour. 
n	(science fiction) A unit of currency used in a fictional universe or timeframe. 
n	A nominal unit of value assigned outside of a currency system. 
n	(uncountable) Recognition for having taken a course (class). 
n	(countable) A course credit, a credit hour – used as measure if enough courses have been taken for graduation. 
n	A surname. 
