v	(intransitive, Northern England, Scotland) To go; walk; proceed. 
n	A number going in company; a number of friends or persons associated for a particular purpose. 
n	A group of laborers under one foreman; a squad. 
n	A criminal group with a common cultural background and identifying features, often associated with a particular section of a city. 
n	A group of criminals or alleged criminals who band together for mutual protection and profit. 
n	A group of politicians united in furtherance of a political goal. 
n	(US) A chain gang. 
n	A combination of similar tools or implements arranged so as, by acting together, to save time or labor; a set. 
n	A set; all required for an outfit. 
n	(electrics) A number of switches or other electrical devices wired into one unit and covered by one faceplate. 
n	(electrics) A group of wires attached as a bundle. 
n	(now chiefly dialectal) A going, journey; a course, path, track. 
n	(obsolete) An outhouse: an outbuilding used as a lavatory. 
v	(transitive) To attach similar items together to form a larger unit. 
v	Synonym of gangbang: to have sex with a single partner as a gang. 
v	Pronunciation spelling of gan. [(archaic) simple past tense of gin] 
n	(mining) Alternative form of gangue [(mining) The earthy waste substances occurring in metallic ore.] 
