v	(ditransitive) to give (permission or wish) 
v	(ditransitive) To bestow or confer, with or without compensation, particularly in answer to prayer or request; to give. 
v	(transitive) To agree with (someone) on (something); to accept (something) for the sake of argument; to admit to (someone) that (something) is true. 
v	(intransitive) To assent; to consent. 
n	The act of granting; a bestowing or conferring; concession; allowance; permission. 
n	The yielding or admission of something in dispute. 
n	The thing or property granted; a gift; a boon. 
n	(law) A transfer of property by deed or writing; especially, an appropriation or conveyance made by the government. 
n	The deed or writing by which such a transfer is made. 
n	(informal) An application for a grant (monetary boon to aid research or the like). 
n	An English surname transferred from the nickname and a Scottish clan name, from a nickname meaning "large". 
n	A male given name transferred from the surname. 
n	A town in Marshall County, Alabama. 
n	An unincorporated community in Inyo County, California. 
n	An unincorporated community in Park County, Colorado. 
n	A small city in Montgomery County, Iowa. 
n	A small city in Newaygo County, Michigan. 
n	A city in Washington County, Minnesota. 
n	A small city, the county seat of Perkins County, Nebraska. 
n	An unincorporated community in Hardin County, Ohio. 
n	An unincorporated community in Mason County, Washington. 
n	A town in Clark County, Wisconsin. 
n	A town in Dunn County, Wisconsin. 
n	A town in Monroe County, Wisconsin. 
n	A town in Portage County, Wisconsin. 
n	A town in Rusk County, Wisconsin. 
n	A town in Shawano County, Wisconsin. 
n	A large number of townships in the United States, listed under Grant Township. 
n	The Rural Municipality of Grant No. 372, a rural municipality in Saskatchewan, Canada. 
n	A former rural locality in Barcaldine Region, Queensland, Australia. 
n	A village in Tolmin, Slovenia 
