v	(intransitive, transitive) To want something to happen, with a sense of expectation that it might. 
v	To be optimistic; be full of hope; have hopes. 
v	(intransitive) To place confidence; to trust with confident expectation of good; usually followed by in. 
v	(transitive, dialectal, nonstandard) To wish. 
n	(countable or uncountable) The feeling of trust, confidence, belief or expectation that something wished for can or will happen. 
n	(countable) The actual thing wished for. 
n	(countable) A person or thing that is a source of hope. 
n	(Christianity, uncountable) The virtuous desire for future good. 
n	(Northern England, Scotland) A hollow; a valley, especially the upper end of a narrow mountain valley when it is nearly encircled by smooth, green slopes; a combe. 
n	A sloping plain between mountain ridges. 
n	(Scotland) A small bay; an inlet; a haven. 
n	A female given name from English from the virtue, like Faith and Charity first used by Puritans. 
n	An English and Scottish topographic surname from Middle English for someone who lived in a hop, a small enclosed valley. 
n	(rare) A male given name transferred from the surname. 
n	A town and district municipality in British Columbia, Canada. 
n	A settlement in Nelson district, New Zealand. 
n	A village in High Peak borough, Derbyshire, England (OS grid ref SK1783). 
n	A village and community in Flintshire, Wales (OS grid ref SJ3058). 
n	A city, the county seat of Hempstead County, Arkansas, United States. 
