adj	(usually followed by of) Released from obligation, penalty, etc; free, clear, or rid. 
v	(transitive, archaic) To pay (a debt, fine etc.). 
v	(transitive, obsolete) To repay (someone) for (something). 
v	(transitive, obsolete) To repay, pay back (a good deed, injury etc.). 
v	(reflexive, archaic) To conduct or acquit (oneself); to behave (in a specified way). 
v	(transitive, archaic) To carry through; to go through to the end. 
v	(transitive) To set at rest; to free, as from anything harmful or oppressive; to relieve; to clear; to liberate. 
v	(transitive) To release from obligation, accusation, penalty, etc.; to absolve; to acquit. 
v	(transitive) To abandon, renounce (a thing). 
v	(transitive) To leave (a place). 
v	(transitive, intransitive) To resign from (a job, office, position, etc.). 
v	(transitive, intransitive) To stop, give up (an activity) (usually + gerund or verbal noun). 
v	(transitive, computing) To close (an application). 
n	Any of numerous species of small passerine birds native to tropical America. 
