adj	(colloquial) Worn out or broken. 
adj	(of material, especially silk) Woven from warp and weft strands of different colours, resulting in an iridescent appearance. 
adj	Tired, weary. 
adj	Discharged, cleared, or rid of something. 
adj	Scarred silly or crazy of something or someone usually due to a traumatic experience with said fear. 
n	The result of launching a projectile or bullet. 
n	(sports) The act of launching a ball or similar object toward a goal. 
n	(athletics) The heavy iron ball used for the shot put. 
n	(uncountable) Small metal balls used as ammunition. 
n	(uncountable, military) Metal balls (or similar) used as ammunition; not necessarily small. 
n	Someone who shoots (a gun, longbow, etc.); a person reckoned as to their aim. 
n	An opportunity or attempt. 
n	A remark or comment, especially one which is critical or insulting. 
n	(slang, sports, US) A punch or other physical blow. 
n	A measure of alcohol, usually spirits, as taken either from a shot-glass or directly from the bottle, equivalent to about 44 milliliters; 1.5 ounces. ("pony shot"= 30 milliliters; 1 fluid ounce) 
n	A single serving of espresso. 
n	(archaic) A reckoning, a share of a tavern bill, etc. 
n	(photography, film) A single snapshot or an unbroken sequence of photographic film exposures, or the digital equivalent; an unedited sequence of frames. 
n	(medicine) A vaccination or injection. 
n	(US, Canada, baseball, informal) A home run that scores one, two, or three runs (a four run home run is usually referred to as a grand slam). 
n	(US federal prison system) Written documentation of a behavior infraction. 
n	(fisheries) A cast of one or more nets. 
n	(fisheries) A place or spot for setting nets. 
n	(fisheries) A single draft or catch of fish made. 
v	(transitive) To load (a gun) with shot. 
n	A charge to be paid, a scot or shout. 
