adj	The ordinal form of the cardinal number three; Coming after the second. 
n	The person or thing in the third position. 
n	One of three equal parts of a whole. 
n	(uncountable) The third gear of a gearbox. 
n	(music) An interval consisting of the first and third notes in a scale. 
n	(baseball) third base 
n	(golf) A handicap of one stroke every third hole. 
n	A third-class degree, awarded to the lowest achievers in an honours degree programme 
n	(archaic) One sixtieth of a second, i.e., the third in a series of fractional parts in a sexagesimal number system. Also formerly known as a tierce. 
v	(informal) To agree with a proposition or statement after it has already been seconded. 
v	To divide into three equal parts. 
