Connected to Transformer (Python 3.11.5)
"""
Removed 'a', due to confusion.
"""

No definitions found for against
No definitions found for among
No definitions found for anyone
No definitions found for everybody
No definitions found for everyone
No definitions found for herself
No definitions found for himself
No definitions found for itself
No definitions found for mm-hmm
No definitions found for myself
No definitions found for n't
No definitions found for ourselves
No definitions found for themselves
No definitions found for unless
No definitions found for until
No definitions found for upon
No definitions found for whom
No definitions found for whose
No definitions found for yourself
No definitions found for albeit
No definitions found for albeit
No definitions found for albeit
No definitions found for albeit
No definitions found for analysed
No definitions found for co-operated
No definitions found for co-ordinated
No definitions found for conceptualised
No definitions found for contextualised
No definitions found for dramatised
No definitions found for externalised
No definitions found for internalised
No definitions found for itemised
No definitions found for minimalised
No definitions found for minimalises
No definitions found for minimalising
No definitions found for minimalized
No definitions found for minimised
No definitions found for normalised
No definitions found for parallelled
No definitions found for parallelling
No definitions found for prioritised
No definitions found for re-evaluated
No definitions found for recommenced
No definitions found for redefined
No definitions found for refocussed
No definitions found for refocusses
No definitions found for refocussing
No definitions found for reformulated
No definitions found for reoccurred
No definitions found for reoccurring
No definitions found for revolutionised
No definitions found for summarised
No definitions found for uncontextualised
No definitions found for albeit
No definitions found for analysed
No definitions found for recommenced
No definitions found for conceptualised
No definitions found for contextualised
No definitions found for uncontextualised
No definitions found for co-operated
No definitions found for co-ordinated
No definitions found for redefined
No definitions found for dramatised
No definitions found for re-evaluated
No definitions found for externalised
No definitions found for refocussed
No definitions found for refocusses
No definitions found for refocussing
No definitions found for reformulated
No definitions found for internalised
No definitions found for itemised
No definitions found for minimalises
No definitions found for minimalised
No definitions found for minimalising
No definitions found for minimalized
No definitions found for minimised
No definitions found for normalised
No definitions found for reoccurred
No definitions found for reoccurring
No definitions found for parallelled
No definitions found for parallelling
No definitions found for prioritised
No definitions found for revolutionised
No definitions found for summarised
